PLANT,PART_NAME,SERVICE_TYPE,FLOW_TYPE,STP_CD,ONESAP_LOT,PROCESS_BEFORE_QTY,PROCESS_AFTER_QTY,STATUS,LOT_CREATE_DATE,
SG21,AN33014UA-VB,F,E,ST31S0000157,#N/A,0,1000,OW,03/05/2017,
SG21,AN29184A-VB,F,E,ST31S0000120,#N/A,646,0,WT,03/08/2017,
SG21,AN41908A-VB,F,E,ST31S0000123,#N/A,0,2000,OW,03/13/2017,
SG21,MN63Y1208-E1,F,E,ST31S0000123,#N/A,0,2000,OW,03/03/2017,
SG21,NN30320A-VB,T,E,ST31S0000120,#N/A,2170,0,HD,12/31/2016,
SG21,MIP0226SYSLT,F,E,ST31S0000033,#N/A,4,0,WT,06/26/2016,
SG21,MIP2E3DMY0LT,F,E,ST31S0000035,#N/A,0,500,OW,03/18/2017,
SG21,MIP2E4DMY0LE,F,E,ST31S0000033,UCE7V508.1,34,0,WT,07/31/2014,
SG21,MIP2E4DMY0LP,F,E,ST31S0000033,UCE7V564.1,24,0,WT,07/31/2014,
SG21,MIP4140MDSLK,F,E,ST31S0000035,#N/A,0,800,OW,03/04/2017,
SG21,MIP4140MDSLK,F,E,ST31S0000035,#N/A,0,800,OW,03/04/2017,
SG21,AN6916,F,E,ST31S0000070,UCE7V582.1,416,0,WT,07/31/2014,
SG21,AN7513,F,E,ST31S0000070,UCE7V498.1,1145,0,WT,07/31/2014,
SG21,AN17831A,F,E,ST31S0000070,UCEAU005.1,752,0,WT,10/23/2014,
SG21,MIP0255STSCF,F,E,ST31S0000033,#N/A,1068,0,WT,12/04/2016,
SG21,MIP2E3DMTSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/10/2017,
SG21,MIP2L30MTSCF,F,E,ST31S0000033,#N/A,1974,0,WT,03/04/2017,
SG21,MIP5510MTSCF,F,E,ST31S0000033,#N/A,670,0,WT,03/04/2017,
SG21,MIP2F50MTSCF,F,E,ST31S0000033,UCG1V988.1,596,0,WT,01/08/2016,
SG21,AN1431T,F,E,ST31S0000070,#N/A,11947,0,WT,08/12/2016,
SG21,AN1431T,F,E,ST31S0000070,UCG8C350.1,10031,0,WT,08/12/2016,
SG21,AN1431T,F,E,ST31S0000070,UCG8C330.1,12018,0,WT,08/12/2016,
SG21,AN1431T,F,E,ST31S0000070,UCG8C339.1,6280,0,WT,08/12/2016,
SG21,AN7190NK-LDG,F,E,ST31S0000070,UCE7V581.1,201,0,WT,07/31/2014,
SG21,NN30500A-VB,T,E,ST31S0000120,#N/A,2237,0,HD,04/03/2016,
SG21,AN17891AAE2V,T,E,ST31S0000155,UCE7V568.1,381,0,WT,07/31/2014,
SG21,AN8882SB-E1V,F,E,ST31S0000154,UCECB005.1,418,0,WT,12/10/2014,
SG21,MNBEFA5AXWF,F,E,ST31S0000154,#N/A,101,0,WT,02/03/2017,
SG21,AN33013UA-VB,F,E,ST31S0000154,#N/A,540,0,WT,03/20/2017,
SG21,AN33016UA-VB,F,E,ST31S0000154,#N/A,7973,0,WT,03/09/2017,
SG21,AN47200A-VF,F,E,ST31S0000154,#N/A,1073,0,WT,03/20/2017,
SG21,AN44051A-VF,F,E,ST31S0000154,#N/A,2197,0,WT,03/11/2017,
SG21,MNBCA6DHCF,F,E,ST31S0000154,#N/A,1990,0,WT,03/09/2017,
SG21,MIP2E3DMY1XC,F,E,ST31S0000035,#N/A,0,500,OW,03/25/2017,
