PLANT,PART_NAME,SERVICE_TYPE,FLOW_TYPE,STP_CD,ONESAP_LOT,PROCESS_BEFORE_QTY,PROCESS_AFTER_QTY,STATUS,LOT_CREATE_DATE,
SG21,AN7915F,T,T,ST31S0000062,UCE9D019.1,2032,0,WT,2014-09-08 14:25:41,
SG21,MIP3550MTSCF,A,A,ST31S0000008,UCH3U045.1,7680,0,AC,2017-03-18 15:17:43,
SG21,AN44010A-VF,A,A,ST31S0000130,UCF6B003.1,2321,0,WT,2015-06-11 16:00:24,
SG21,AN44116ABVB,A,A,ST31S0000082,UCH3U009.1,73812,0,AC,2017-03-28 14:12:21,
SG21,AN33014UA-VB,A,A,ST31S0000135,UCH3U008.1,7960,0,AC,2017-03-25 12:12:01,
SG21,AN7915F,T,T,ST31S0000062,UCF5T020.1,1547,0,WT,2015-05-19 14:23:12,
SG21,2SC1573AQ,T,T,ST41S0000020,UDE9C005.1,200,0,WT,2014-08-15 08:40:22,
SG21,HULT276S14PA,A,A,(HL)0766,UFG1R005.1,2022,0,ABN,2016/01/25 07:10:20
,
SG21,HULT276S14PA,A,A,(HL)0766,UFG1R006.1,2023,0,ABN,2016/01/25 07:10:20
,
SG21,HULT276S14PA,A,A,(HL)0770,UFG1S036.1,1650,0,ABN,2016/01/26 07:32:02
,
SG21,HUL6205S31AU,A,A,(HL)0610,UFF3Q029.1,1416,0,RUN,2015/03/26 03:48:41
,
SG21,HUL6205S31AU,A,A,(HL)0610,UFF3Q030.1,3451,0,RUN,2015/03/26 03:48:43
,
SG21,HUL7212S31TN,A,A,(HL)0610,UFFCI006.1,2211,0,RUN,2015/12/18 02:01:43
,
SG21,HUL7212S32AP,A,A,(HL)0650,UFH3V280.1,2108,0,HELD,2017/03/26 05:08:48
,
SG21,HUL7214S11MC,A,A,(HL)0610,UFFB8006.1,4218,0,RUN,2015/11/08 23:10:59
,
SG21,HUL7258S01S0,A,A,(HL)0610,UFF8B010.1,217,0,RUN,2015/08/11 01:48:16
,
SG21,MN34031AL,T,T,(CCD)0768,UEH3U052.1,12,0,RUN,2017/01/14 08:30:46
,
SG21,MN34031AL,T,T,(CCD)0768,UEH3U055.1,40,0,RUN,2016/12/07 22:27:14
,
