PLANT,PART_NAME,SERVICE_TYPE,FLOW_TYPE,STP_CD,ONESAP_LOT,PROCESS_BEFORE_QTY,PROCESS_AFTER_QTY,STATUS,LOT_CREATE_DATE,
SG21,QBSG-PA3-SBTS369A,A,A,ST11S0000009,UBH3T252.1,12800,0,AC,03/23/2017,
SG21,QBSG-PA3-SBTS362A,A,A,ST11S0000009,UBH2N326.1,1020,0,WT,02/23/2017,
SG21,QBSG-PA3-SBTS370A,A,A,ST11S0000013,UBF73004.1,720,0,HD,07/03/2015,
SG21,QBSG-PA3-WFRS409A,A,A,ST11S0000013,UBH3O550.1,997,0,WT,03/23/2017,
SG21,QBSG-PA3-ASMS556A,A,A,ST31S0000003,UCH3T532.1,11477,0,WT,03/29/2017,
SG21,QBSG-PA3-ASMS556A,A,A,ST31S0000003,UCH3T540.1,23249,0,WT,03/29/2017,
SG21,QBSG-PA3-ASMS556A,A,A,ST31S0000205,UCGBE471.1,1280,0,WT,10/27/2016,
SG21,QBSG-PA3-ASMS556A,A,A,ST31S0000003,UCH3T529.1,23284,0,WT,03/29/2017,
SG21,QBSG-PA3-ASMS556A,A,A,ST31S0000003,UCH3T517.1,16862,0,WT,03/29/2017,
SG21,QBSG-PA3-WFRS490A,A,A,ST31S0000003,UCH3T543.1,56766,0,WT,03/29/2017,
SG21,QBSG-PA3-WFRS492A,A,A,ST31S0000165,UCH3H955.1,1724,0,WT,03/13/2017,
SG21,QBSG-PA3-ASMS559A,A,A,ST31S0000165,UCH33655.1,498,0,WT,03/03/2017,
SG21,CLNCT22BS,T,T,ST49S0000013,UAH47043.1,312,0,WT,03/05/2017,
SG21,CLNCT28AS,T,T,ST49S0000005,UAH3T029.1,20044,0,WT,03/29/2017,
SG21,CLNCT28AS,T,T,ST49S0000011,UAH3O026.1,18735,0,WT,03/24/2017,
SG21,CLNCT28AS,T,T,ST49S0000003,UAH3T021.1,137929,0,WT,03/29/2017,
SG21,CLNCT28AS,T,T,ST49S0000010,UAH3P007.1,18967,0,AC,03/24/2017,
SG21,CLNCT28AS,T,T,ST49S0000011,UAH3P003.1,19174,0,WT,03/24/2017,
SG21,CLNCT28AS,T,T,ST49S0000005,UAH3S005.1,19801,0,WT,03/26/2017,
SG21,CLNCT28AS,T,T,ST49S0000006,UAH3R004.1,18869,0,WT,03/25/2017,
SG21,CLNCT28AS,T,T,ST49S0000006,UAH3R006.1,19137,0,WT,03/25/2017,
SG21,QBSG-PA3-S518T,T,T,ST49S0000030,UAH38008.1,63543,0,WT,03/04/2017,
SG21,QBSG-PA3-S518T,T,T,ST49S0000025,UAH3T025.1,0,63049,EW,03/09/2017,
SG21,QBSG-PA3-S518T,T,T,ST49S0000010,UAH2J002.1,66452,0,WT,02/04/2017,
SG21,QBSG-PA3-S518T,T,T,ST49S0000010,UAH3F002.1,63794,0,WT,03/04/2017,
SG21,QBSG-PA3-S515T,T,T,ST49S0000010,UAH36028.1,52093,0,WT,03/04/2017,
SG21,QBSG-PA3-S515T,T,T,ST49S0000005,UAH3B010.1,41435,0,WT,03/04/2017,
SG21,QBSG-PA3-S516T,T,T,ST49S0000031,UAH3H007.1,65800,0,WT,03/16/2017,
SG21,QBSG-PA3-S516T,T,T,ST49S0000030,UAH35051.1,366,0,HD,03/04/2017,
SG21,MN864729-EB,T,T,ST31S0000109,UCH45100.1,4754,0,WT,03/29/2017,
SG21,MN864729-EB,T,T,ST31S0000109,UCH44783.1,4774,0,WT,03/29/2017,
SG21,MN864729-EB,T,T,ST31S0000108,UCH44357.1,4753,0,WT,03/28/2017,
SG21,MN864729-EB,T,T,ST31S0000109,UCH41109.1,4744,0,WT,03/29/2017,
SG21,MN864729-EB,T,T,ST31S0000109,UCH41696.1,4758,0,WT,03/29/2017,
SG21,MN864729-EB,T,T,ST31S0000108,UCH46099.1,1821,0,WT,03/28/2017,
SG21,MN864729-EB,T,T,ST31S0000109,UCH45212.1,4774,0,WT,03/30/2017,
SG21,NN30332A-VB,T,T,ST31S0000109,UCG74568.1,3754,0,HD,07/04/2016,
SG21,NN30332A-VB,T,T,ST31S0000109,UCH42502.1,1265,0,WT,03/27/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH23280.1,3086,0,HD,02/03/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH14402.1,3406,0,HD,01/04/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCGCM760.1,2143,0,HD,12/22/2016,
SG21,NN30320A-VB,T,T,ST31S0000109,UCGA1226.1,3423,0,HD,10/01/2016,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH32609.1,3562,0,HD,03/02/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCGAC060.1,3545,0,HD,10/12/2016,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH23276.1,3380,0,HD,02/03/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCH4K375.1,3303,0,HD,03/06/2017,
SG21,NN30320A-VB,T,T,ST31S0000109,UCGCU253.1,3714,0,HD,12/30/2016,
SG21,NN30320A-VB,T,T,ST31S0000109,UCGA5337.1,3340,0,HD,10/05/2016,
SG21,NN30500A-VB,T,T,ST31S0000109,UCG45504.1,1191,0,WT,04/05/2016,
SG21,NN30500A-VB,T,T,ST31S0000109,UCG3T132.1,1155,0,WT,03/29/2016,
SG21,NN30500A-VB,T,T,ST31S0000109,UCG5E828.1,2940,0,WT,05/14/2016,
SG21,NN30500A-VB,T,T,ST31S0000109,UCG4K673.1,1160,0,HD,04/20/2016,
SG21,NN30500A-VB,T,T,ST31S0000109,UCG4J673.1,2469,0,HD,04/19/2016,
SG21,NN30500A-VB,T,T,ST31S0000109,UCG4J707.1,1663,0,WT,04/19/2016,
SG21,NN30501A-VB,T,T,ST31S0000109,UCG990CI.1,4836,0,HD,09/09/2016,
SG21,NN30501A-VB,T,T,ST31S0000109,UCG9E573.1,4431,0,HD,09/14/2016,
SG21,QBSG-PA3-WFRS470A,A,A,ST31S0000171,UCG45624.1,506,0,WT,04/05/2016,
SG21,NN30310AAVB,T,T,ST31S0000109,UCG1A001.1,1326,0,HD,01/10/2016,
SG21,QBSG-PA3-WFRS479A,A,A,ST31S0000082,UCG9O896.1,14665,0,HD,09/19/2016,
SG21,QBSG-PA3-WFRS539A,A,A,ST11S0000087,UBH1N025.1,749,0,HD,01/07/2017,
SG21,QBSG-PA3-WFRS539A,A,A,ST11S0000003,UBH3O390.1,24069,0,WT,03/24/2017,
SG21,MN5407UB-S,A,A,ST11S0000091,UBH3N422.1,2476,0,WT,03/17/2017,
SG21,MN5407UB-S,A,A,ST11S0000019,UBH3N479.1,2555,0,WT,03/17/2017,
SG21,MN5407UB-S,A,A,ST11S0000091,UBH3E143.1,2545,0,AC,03/06/2017,
SG21,MN5406UB-S,A,A,ST11S0000090,UBH3L112.1,2050,0,AC,03/17/2017,
